NWS ID,River,Location,Forecast Condition,Point Type,Observed Date (Day,Latest Flow,Latest Stage,Flood Stage,Bankfull Stage,HUC,State,HSA,Elevation,Forecast Group,Segment
gown2,Gowan Detention Basin Outlet , N Las Vegas  Nr,1,1,,,,,13,15010015,NV,VEF,2060,MUDLV,10
grca3,Granite Ck , Prescott  Nr,1,1,20.15,20,5.71,11,M,15060202,AZ,FGZ,5204,VERDE,4
grwa3,Granite Ck , Watson Lake  Blo,1,1,20.15,,,,14,15060202,AZ,FGZ,5020,VERDE,6
gspu1,Great Salt Lake , Saltair Boat Harbor At State Pk,1,1,,e2124,,,M,16020310,UT,SLC,4187,SALTLAKE,5
gbfw4,Green , Fontenelle Res  Blo,1,1,20.15,973,11.73,16.5,15.5,14040103,WY,RIW,6378,GREEN,7
grrw4,Green , Green River  Wy  Nr,1,1,20.15,1118,1.67,7,5.5,14040106,WY,RIW,6060,GREEN,11
grvu1,Green , Green River  Ut,1,1,20.15,2670,6.24,15,14,14060008,UT,SLC,4040,GREEN,25
grzu1,Green , Greendale  Nr,1,1,20.15,1529,9.04,,14.8,14040106,UT,GJT,5594,GREEN,23
jesu1,Green , Jensen  Nr,1,1,20.15,2088,2.75,10.8,9,14060001,UT,GJT,4758,GREEN,24
labw4,Green , La Barge  Nr,1,1,20.15,833,5.15,9,8,14040101,WY,RIW,6520,GREEN,4
wbrw4,Green , Daniel  Nr  Warren Bridge  At,1,1,20.15,e149,e1.32,6,5,14040101,WY,RIW,7468,GREEN,1
delc2,Gunnison , Delta,1,1,20.15,1445,2.6,12,8,14020005,CO,GJT,4910,GUN,31
gepc2,Gunnison , Gunnison Tun  Blo,1,1,20.16,1070,3.5,,M,14020002,CO,GJT,6526,GUN,21
gjnc2,Gunnison , Grand Junction  Nr,1,1,20.15,1811,3.51,13,8.6,14020005,CO,GJT,4628,GUN,38
gusc2,Gunnison , Gunnison  Nr,1,1,20.15,e259,e1.18,5.5,4.8,14020002,CO,GJT,7655,GUN,7
hmfw4,Hams Fork , Frontier  Nr  Pole Ck  Blo,1,1,20.15,e18,e2.97,6.5,6,14040107,WY,RIW,7455,GREEN,12
hama3,Hassayampa , Morristown  Nr,1,1,20.15,0,6.61,17,16,15070103,AZ,PSR,1830,HASSCENT,6
hsta3,Hassayampa , Arlington  Nr,1,1,20.15,,,17,15,15070103,AZ,PSR,823,HASSCENT,8
hwga3,Hassayampa , Box Canyon,1,1,20.01,0,3.19,,10,15070103,AZ,FGZ,2245,HASSCENT,2
mhua3,Hassayampa , Us,1,1,20.13,0,1.59,,5,15070103,AZ,PSR,2045,HASSCENT,5
wgna3,Hassayampa , Wagoner Rd,1,1,20.13,0,4.1,,7,15070103,AZ,FGZ,3760,HASSCENT,1
supa3,Havasu Ck , Supai,1,1,20.15,66,14.8,17,27.1,15010004,AZ,FGZ,3240,BILLPAR,3
hfmw4,Henrys Fork , Manila  Nr,1,1,20.15,e61,e3.31,7,6.5,14040106,WY,RIW,6060,GREEN,21
hbcu1,Hobble Ck , Springville  700 East,1,1,20.15,29,4.43,,,16020202,UT,SLC,4501,PROVO,13
hmsc2,Homestake Ck , Gold Park,1,1,20.15,e8,e3.96,,5.7,14010003,CO,GJT,9200,COLPAL,5
hunc2,Hunter Ck , Aspen  Nr,1,1,20.12,8,1.12,,3.3,14010004,CO,GJT,8610,COLPAL,13
hpbu1,Huntington Ck , Power Plant  Blo ,1,1,20.14,36,,,,14060009,UT,SLC,6624,SANRAFDD,12
hntu1,Huntington Reservoir,,1,1,20.12,1,,,,14060009,UT,SLC,9007,SANRAFDD,7
ibwa3,Indian Bend Wash , Indian Bend Rd,1,1,20.13,0,0.03,,5,15060106,AZ,PSR,1280,SALT,18
idxa3,Indian Bend Wash , Curry Rd,1,1,20.16,0,0.78,6,6,15060106,AZ,PSR,1162,SALT,19
ibsa3,Indian Bend Wash @ Shea Blvd,,1,1,20.15,80,1.03,,4,15060106,AZ,PSR,1360,SALT,17
wnba3,Jackrabbit Wash , Tonopah  Nr,1,1,20.13,0,2.3,5,5,15070103,AZ,PSR,1725,HASSCENT,7
joru1,Jordan , 500 North,1,1,20.15,164,,8.8,M,16020204,UT,SLC,4210,SALTLAKE,3
jrsu1,Jordan , Salt Lake City,1,1,20.15,112,2.36,10.6,9.5,16020204,UT,SLC,4220,SALTLAKE,2
sswu1,Jordan , 90th South 8th West,1,1,20.16,33,,6.3,6.2,16020204,UT,SLC,4293,SALTLAKE,1
kcku1,Kanab Ck , Kanab  Nr,1,1,20.15,7,12.16,,14.2,15010003,UT,SLC,5060,BILLPAR,2
lphc2,La Plata , Hesperus,1,1,20.12,e7,e3.30,,5,14080105,CO,GJT,8105,SANJUAN,20
lpsc2,La Plata , Co/nm State Line,1,1,20.15,2,3.4,9,8,14080105,CO,ABQ,5972,SANJUAN,21
lfbc2,Lake Fork , Lake San Cristobal  Blo,1,1,20.15,e28,e4.14,,,14020002,CO,GJT,9000,GUN,11
lfgc2,Lake Fork , Gateview,1,1,20.15,e66,e1.39,,4.9,14020002,CO,GJT,7828,GUN,12
lamu1,Lambs Ck , Salt Lake City  Nr,1,1,20.12,5,,,,16020204,UT,SLC,5550,SIXCKS,9
kidn2,Las Vegas Wash ,3,1,1,20.15,413,34.22,,47.8,15010015,NV,VEF,1450,MUDLV,19
lvpn2,Las Vegas Wash , Pabco Rd  Henderson nr,1,1,20.15,418,6.28,,10.1,15010015,NV,VEF,1540,MUDLV,18
lesa3,Leslie Ck , Mcneal  Nr,1,1,20.15,0,2.47,,6,15080301,AZ,TWC,4620,WHVAM,5
